auth.agree_with;Es gelten unsere Allgemeinen Geschäftsbedingungen. Unsere Datenschutzerklärung finden sie hier.;I agree with the terms of Use & Provacy Policy;Concordo com os termos da Política de Uso e Privacidade
auth.already_have_an_account;Sie haben bereits ein Konto?;Already have an account?;Já tem uma conta?
auth.change_password;Passwort ändern;change password;Alterar Senha
auth.check_your_email;Check deine E-Mails;Check your email;Verifique seu e-mail
auth.continue_apple;Weiter mit Apple;Continue with Apple;Continuar com Apple
auth.continue_google;Weiter mit Google;Continue with Google;Continuar com Google
auth.current_password;Aktuelles Passwort;Current password;Senha atual
auth.delete_my_account;Meinen Account löschen;Delete my account;Apagar a minha conta
auth.delete_your_account_description;Sie werden all Ihren Fortschritt und Ihre Daten verlieren.;You will lose all your progress and data.;Você perderá todo o seu progresso e dados.
auth.delete_your_account_question;Konto löschen?;Delete your account;Excluir sua conta
auth.delete_your_account;Konto löschen;Delete your account?;Excluir sua conta?
auth.deleted_account;Dein Konto wurde gelöscht;Your account has been deleted;A sua conta foi deletada
auth.disabled_account;Dein Konto wurde deaktiviert, bitte versuche es zu einem späteren Zeitpunkt erneut.;Your account has been disabled, please try again later;A sua conta foi desativada, tente novamente mais tarde
auth.dont_have_an_acount;Sie haben noch kein Konto?;Dont have an account?;Não tem uma conta?
auth.email_is_already_in_use;Die eingegebene Adresse ist bereits registriert;The email address is already in use by another account;O endereço de e-mail já está sendo utilizado por outra conta
auth.email;E-Mail;E-Mail;e-mail
auth.enter_current_password;aktuelles Passwort eingeben;enter current password;Inserir senha atual
auth.enter_email;Email eingeben;Enter Email;Inserir E-mail
auth.enter_new_password;neues Passwort eingeben;enter new password;Inserir nova senha
auth.enter_password;Passwort eingeben;Enter Password;Inserir senha
auth.enter_your_email_to_get_the_reset_link;Geben Sie Ihre E-Mail-Adresse ein, um den Link zum Zurücksetzen zu erhalten;Enter your email to get the reset link;Digite seu e-mail para obter o link de redefinição
auth.field_is_required;Bitte Felder ausfüllen;Field is required;O Campo Loja é obrigatório
auth.forgot_password;Passwort vergessen?;Forgot password?;Esqueceu sua senha?
auth.incorrect_email_or_password;Email oder Passwort ungültig;Incorrect email or password;E-mail ou palavra-chave incorretos
auth.invalid_age;ungültiges Alter;invalid age;Idade inválida
auth.invalid_email_address;ungültige Email Adresse;Invalid email address;Endereço de e-mail inválido
auth.invalid_password;falsches Passwort;Invalid password;Senha inválida
auth.login;Einloggen;Log In;Iniciar Sessão
auth.logout;ausloggen;Log Out;Sair
auth.new_assword;Neues Passwort;New password;Nova senha
auth.or;Oder;Or;Ou
auth.password_must_contain_lowercase;Passwort muss Großbuchstaben, Kleinbuchstaben, Nummern, Sonderzeichen (#,$,@,!,_,%,&,*,?) beinhalten und mind. aus 8 Stellen umfassen.;Password must contain lowercase, uppercase, number, special character (#,$,@,!,_,%,&,*,?) and at least 8 characters in length;A palavra-chave deve conter letras minúsculas, maiúsculas, números, caracteres especiais (#,$,@,!,_,%,&,*,?) e pelo menos 8 caracteres
auth.password;Passwort;Password;Senha
auth.repeat_new_password;neues Passwort wiederholen;repeat new password;Repetir nova senha
auth.repeat_password;Passwort wiederholen;Repeat Password;Repetir Senha
auth.send_link;Link senden;Send link;Enviar Link
auth.signup;Anmeldung;Sign Up;Inscreva-se
auth.something_went_wrong;uups da ist wohl etas falsch gelaufen;Something went wrong;Algo deu errado
auth.terms_of_policy;Unsere Datenschutzerklärung finden sie hier;Terms of Use & Provacy Policy;Termos da Política de Uso e Privacidade
auth.user_not_found;Benutzername nicht gefunden;User not found;Usuário não encontrado
auth.username;Benutzer-Name;Username;Nome do usuário
books.books;Bücher;Books;Livros
books.description;Beschreibung;Description;Descrição
books.recommended;empfohlen für dich;recommended for you;Recomendado para você
books.see_more;Mehr entdecken;See more;Ver mais
books.title;Literatur;literature;Literatura
categories.categories;Kategorie;categories;Categorias
categories.favourites;Favoriten;favourites;Favoritos
categories.lockPopupText;Um die nächste Stufe freizuschalten, müssen Sie die Fragen und Herausforderungen im aktuellen Schritt vollständig beantworten und beherrschen. Dieser Ansatz (4 Schritte zur Liebe) ist so konzipiert, dass Sie nicht vorzeitig weiterkommen, damit Sie den maximalen therapeutischen Effekt aus jeder Stufe ziehen können.;In order to unlock the next stage, you need to fully answer and master the questions and challenges in the current step. This approach (4-Steps to Love) is designed to ensure you don’t move forward prematurely, so you can get the maximum therapeutic effect from each stage.;Para desbloquear a próxima etapa, você precisa responder e dominar completamente as perguntas e desafios no passo atual. Esta abordagem (4 Passos para o Amor) é projetada para garantir que você não avance prematuramente, para que possa obter o máximo efeito terapêutico de cada estágio.
categories.lockPopupTitle;Tut mir leid, die Kategorie ist gesperrt.;Sorry, the category is locked;Desculpe, a categoria está bloqueada.
challenge.favourite_Challenges;Favourite Challenges;Favourite Challenges;Favourite Challenges
challenge.group_info_title;Info;Info;Info
challenge.group_instructions_title;Anweisungen;Instructions;Instruções
challenge.hop_to_the_challenges;Spring zu den Herausforderungen;Hop to the Challenges;Pule para os Desafios
challenge.lockedPopupText;Um die nächste Stufe freizuschalten, müssen Sie die Fragen und Herausforderungen des aktuellen Schrittes vollständig beantworten und beherrschen. Dieser Ansatz (4 Schritte zur Liebe) ist so konzipiert, dass Sie nicht vorzeitig weitergehen, damit Sie den maximalen therapeutischen Effekt aus jeder Stufe ziehen können.;In order to unlock the next stage, you need to fully answer and master the questions and challenges in the current step. This approach (4-Steps to Love) is designed to ensure you don’t move forward prematurely, so you can get the maximum therapeutic effect from each stage.;Para desbloquear a próxima etapa, você precisa responder e dominar completamente as perguntas e desafios do passo atual. Esta abordagem (4 Passos para o Amor) é projetada para garantir que você não avance prematuramente, para que possa obter o máximo efeito terapêutico de cada estágio.
challenge.lockedPopupTitle;Entschuldigung, diese Herausforderungen sind noch gesperrt.;Sorry, these challenges are still locked;Desculpe, estes desafios ainda estão bloqueados.
challenge.specialChallengeTitle;Sonderangebote;Specials;Promoções
challenge.tab_core;Kern;Core;Núcleo
challenge.tab_special;Spezial;Special;Especial
challenge.title;Challenges;Challenges;Desafios
common._each_session;*Jede Sitzung schliesst mit einer Challenge ab, betrachtet Sie als eine Art Hausaufgabe oder als ein neues Werkzeug, dass ihr in Zukunft benutzen könnt.;*Each session concludes with a challenge, think of it as a homework assignment or a new tool you can use in the future.;*Cada sessão termina com um desafio, pense nele como uma tarefa de casa ou uma nova ferramenta que você poderá usar no futuro.
common.a_lot;Sehr viel;A lot;Muito
common.about_the_app;Über die App;About the app;Sobre o aplicativo
common.acing_this_next_question;Gut gemeistert! Nächste Frage wartet schon;You’re acing this! Next question awaits;Você está ganhando esta! A próxima pergunta o aguarda
common.add_categories;Kategorie hinzufügen;add categories;Adicionar Categoria
common.add_category;Kategorie hinzufügen;add category;Adicionar categoria
common.age;Alter;Age;Idade
common.all_in_one;All in one;all in one;Tudo em um
common.amazing_do_this;Cool, legen wir los;Amazing, lets do it;Incrível, vamos lá
