settings.english;;Deutsch;English;Português 
auth.email;;E-Mail;E-Mail;e-mail
auth.username;Start Screen/Login/Signin;Benutzer-Name;Username;Nome do usuário
auth.password;Start Screen/Login/Signin;Passwort;Password;Senha
auth.repeat_password;Start Screen/Login/Signin;Passwort wiederholen;Repeat Password;Repetir Senha
auth.enter_email;;;Enter Email;
auth.enter_password;;;Enter Password;
auth.or;;;Or;
auth.continue_google;Start Screen/Login/Signin;Weiter mit Google;Continue with Google;Continuar com Google
auth.delete_your_account_description;;;You will lose all your progress and data.;
auth.continue_apple;Start Screen/Login/Signin;Weiter mit Apple;Continue with Apple;Continuar com Apple
auth.delete_my_account;;;Delete my account;
auth.agree_with;Start Screen/Login/Signin;Es gelten unsere Allgemeinen Geschäftsbedingungen. Unsere Datenschutzerklärung finden sie hier.;I agree with the terms of Use & Provacy Policy;Concordo com os termos da Política de Uso e Privacidade
auth.terms_of_policy;;;Terms of Use & Provacy Policy;
auth.signup;Start Screen/Login/Signin;Anmeldung;Sign Up;Inscreva-se
auth.already_have_an_account;Start Screen/Login/Signin;Sie haben bereits ein Konto.;Already have an account?;Já tem uma conta?
auth.enter_your_email_to_get_the_reset_link;;;Enter your email to get the reset link;
auth.login;Start Screen/Login/Signin;Einloggen;Log In;Iniciar Sessão
auth.check_your_email;;;Check your email;
auth.forgot_password;;;Forgot password?;
auth.dont_have_an_acount;Start Screen/Login/Signin;Sie haben noch kein Konto?;Dont have an account?;Não tem uma conta?
onboarding.welcome.title;Welcome;Schön, dass du hier bist!;Good, that you are here!;Que bom que você está aqui!
onboarding.welcome.description;welcome;Erlebt mit uns eine neue, revolutionäre, leichte & spielerische Reise zu mehr Nähe und Intimität in Ihrer Beziehung;Experience with us a new, revolutionary, easy & playfully journey to more closeness and intimacy in your relationship;
auth.already_have_an_account;;Sie haben bereits ein Konto? Einloggen;Already have an account?;Já tem uma conta? Iniciar Sessão
common.lets_do_this;;Los geht’s!;Let’s do this;Vamos!
profile.self_reflection;Goals;Selbstreflexion;Self-Reflection;Autorreflexão
profile.increase_mutual_understanding;Goals;Erhöhtes Verständnis, Wertschätzung und Respekt;Increase mutual understanding, appreciation & respect;Aumento da compreensão, apreciação e respeito
profile.feeling_better;Goals;Mehr Verbundenheit & stärkere Bindung schaffen;Feeling better connected & create safe attachment;Criar mais conexões e vínculos mais fortes
profile_less_conflicts;Goals;Weniger Konflikte;Less Conflicts;Menos conflitos
profile_boost_intimacy;Goals;mehr Intimität & besserer;Boost Intimacy & improve sex;Mais intimidade e melhor
profile.communication;Goals;Bessere Kommunikation;Improve our Communication;Melhor comunicação
profile.more_fun;Goals;Mehr Spaß und Aufregung;More fun and excitement;Mais diversão e entusiasmo
profile.manage_finances;Goals;Finanzen besser managen;Manage couple finances better;Gerenciar melhor as finanças
profile.closer_relationship;Goals;Engere Beziehung zu Familie und Freunden;Closer relationship with family and friends;Relacionamento mais próximo com a família e os amigos
profile.closer_relationship;Goals;Gemeinsame Ziele und Träume bilden;Build meaning and dreams;Construção de metas e sonhos comuns
common.proceed;;Weiter;Proceed;Prosseguir
onboarding.notification.description;Notifcations;Unsere Benachrichtigung werden euch helfen, den Kurs zu halten!;Our notification will help you to keep the course! ;Nossa notificação o ajudará a manter o curso! 
onboarding.notification.description2;Notifcations;Der Lauf der wahren Liebe verlief nie glatt;The course of true love never did run smooth;O curso do amor verdadeiro nunca foi suave
onboarding.notification.perhaps_later;Notifcations;Vielleicht später;Perhaps later;Talvez mais tarde
onboarding.notification.allow_notifications;Notifcations;Benachrichtigungen zulassen;Allow notifications;Permitir notificações
profile_playfull_effective;Statistic;Spielerisch & effektiv;Playfull & effective;Lúdico e eficaz
onboarding.statistic.screen_1_description;Statistic;Eure 4 Schritte zu einem besseren Selbstverständnis und einer besseren Beziehung;Your 4 steps to better self understanding and better relationships;Suas 4 etapas para um melhor entendimento de si mesmo e melhores relacionamentos
onboarding.statistic.screen_2_description;Statistic;7/10 Menschen sind mit ihren Beziehungen oder ihrem Liebesleben nicht zufrieden.;7/10 people are not happy with their relationships or love life.;7/10 pessoas não estão felizes com seus relacionamentos ou vida amorosa.
onboarding.statistic.description_10;Statistic;Ich wünschte, ich hätte die Dinge, die ich hier gelernt habe, schon vorher gewusst. Mein Mann und ich lieben unsere kleinen Sitzungen.;I wish i would have known the things i have learned here before. My husband and me are loving our little sessions.;Eu gostaria de ter sabido antes as coisas que aprendi aqui. Meu marido e eu estamos adorando nossas pequenas sessões.
onboarding.statistic.description_11;Statistic;Seit wir diese App haben, sind meine Freundin und ich auf einem ganz neuen Level. Unsere Gespräche, haben sich verändert. Wir verstehen uns jetzt wirklich. Es ist, als ob wir wiederentdecken, warum wir uns überhaupt ineinander verliebt haben.;Since we got this app, my girlfriend and I are on a whole new level. Our talks, have changed. We really get each other now. It's like we're rediscovering why we fell for each other in the first place.;Desde que adquirimos esse aplicativo, minha namorada e eu estamos em um nível totalmente novo. Nossas conversas mudaram. Nós realmente nos entendemos agora. É como se estivéssemos redescobrindo por que nos apaixonamos um pelo outro em primeiro lugar.
onboarding.statistic.description_12;Statistic;Gott, wir hatten wirklich keine Ahnung, wie man eine erfolgreiche und glückliche Beziehung aufbaut. Ich fühle mich so viel mehr geliebt und geschätzt, seit wir diese App benutzen.;God, we really had no idea how to build a successful and happy relationship. I feel so much more loved and appreciated since we started using this app.;Meu Deus, nós realmente não tínhamos ideia de como construir um relacionamento bem-sucedido e feliz. Comecei a me sentir muito mais amada e valorizada desde que começamos a usar esse aplicativo.
onboarding.statistic.description_13;Statistic;Ich habe mich meinem Partner noch nie so nah gefühlt, seit wir diese App benutzen. Wir reden tatsächlich miteinander und verstehen uns.;I've never felt so close to my partner since we started using this app. We actually talk to each other and understand each other.;Nunca me senti tão próximo do meu parceiro desde que começamos a usar esse aplicativo. Estamos realmente conversando e entendendo um ao outro.
onboarding.statistic.screen_3_description;Statistic;Aber für 96 % sind glückliche und verlässliche Beziehungen das Wichtigste im Leben.;But for 96%, happy & reliable relationships are the most important things in life.;Mas para 96%, relacionamentos felizes e confiáveis são a coisa mais importante da vida.
onboarding.statistic.screen_4_description;Statistic;Die einzige App, die Ihr für eine positive Veränderungen braucht.;The only App you will need for positive change.;O único aplicativo de que você precisará para uma mudança positiva.
onboarding.statistic.description_14;Statistic;9/10 Personen spüren eine positive Veränderung in ihrer Beziehung;9/10 people feel a positive influence in their relationship;9/10 pessoas sentem uma influência positiva em seus relacionamentos
common.lets_start;Statistic;Lass loslegen;Let’s Start;Vamos começar
auth.already_have_an_account;Start Screen/Login/Signin;Sie haben bereits ein Konto.;Already have an account?;Já tem uma conta?
auth.login;Start Screen/Login/Signin;Einloggen;Log In;Iniciar Sessão
auth.dont_have_an_acount;Start Screen/Login/Signin;Sie haben noch kein Konto?;Dont have an account?;Não tem uma conta?
quotes.quote_of_the_day;Quote of the day;Zitat des Tages;Quote of the day;Citação do dia
quotes.show_me_book;Quote of the day;Zeig mir das Buch.;Let me see the book.;Deixe-me ver o livro.
common.dont_show_again;Quote of the day;Nicht mehr zeigen;Don’t Show Again;Não mostrar novamente
profile.name;Profil;Name;Name;Nome
common.age;Profil;Alter;Age;Idade
profile.country;Profil;Land;Country;País
myRelationship.relationship_status_title;Profil;Beziehungs-Status;Relationship Status;Status de Relacionamento
profile.preferences;Profil;Präferenzen;Preferences;Preferências
profile.i_am_here_just_for_fun;Profil;Ich will Spaß haben;I am here to have fun;Estou aqui para me divertir
profile.increase_intimacy_level;Profil;Ich möchte eine höhere Intimität ;I want to improve our intimacy level.;Quero melhorar o nosso nível de relacionamento
profile.increase_appreciation_and_respect;Profil;Ich möchte mehr Wertschätzung und Respekt;Appreciation and respect;Aumentar a apreço e o respeito
profile.conlfict_management;Profil;Ich möchte unsere Streitkultur verbessern.;Conlfict management;Aprender a lidar com conflitos
profile.communication;Profil;ich möchte unsere Kommunikation verbessern;Improve our Communication;Melhorar a nossa comunicação
profile.self_reflection;Profil;Selbstreflektion;Self-reflection;Autorreflexão
profile.create_safe_attachment;Profil;tiefere Verbundenheit;Create a save attachment;Criar ligação segura
upload.change_photo;Profil;Foto bearbeiten;Change Photo;Alterar foto
profile.save_changes;Profil;Änderungen speichern;Save changes;Savar alterações
common.save;Profil;speichern;Save;Salvar
upload.change_profile_photo;Profil;Profil-Foto ändern;Change profil photo;Alterar foto do perfil
upload.open_gallery;Profil;Galerie öffnen;Open gallery;Galeria aberta
upload.delete_photo;Profil;Foto löschen;Delete Photo;Apagar foto
upload.take_photo;Profil;Foto aufnehmen;take photo;Tirar foto
common.first_start;Homepage - First Start;Start;First Start;Primeiro início
common.your_journey_starts_here;Homepage - First Start;Beginnt Eure Ihre Reise jetzt!;Your journey starts here;Comece sua jornada agora!
common.lets_dive_into_session;;Lasst und gleich in Eure erste Sitzung eintauchen.;Let’s dive into your first session;Vamos nos aprofundar em sua primeira sessão
common.special_offer;;Sonderangebot, wenn Sie jetzt LoveWorkz Premium abonnieren;Special offer when you subscribe to LoveWorkz Premium;Oferta especial ao assinar o LoveWorkz Premium
common.explore_more;;Wollt ihr mehr tun?;Want to explore more?;Quer fazer mais?
common.trending_topics;;Themen im Trend;Trending topics;Tópicos de tendência
common.trending_challenges;;Challenges im Trend;Trending challenges;Desafios de tendências
sessions.todaysSession;Pre - session;Heutige Sitzung;Today’s session;Sessão do dia
common.see_all_personal_growth;Pre - session;Alle Sitzungen von Personal Growth anzeigen ;See all sessions of Personal Growth ;Ver todas as sessões de Crescimento pessoal 
common.collapse;Pre - session;Einklappen;Collapse;Colapso
questions.questions;Pre - session;Fragen;Questions;Perguntas
common.challenge;Pre - session;Challenge;Challenge;Desafio
common.begin_session;Pre - session;Sitzung Beginnen;Begin Session;Iniciar sessão
common.how_are_we_today;Pre - session;Wie geht es uns heute?;How are we today?;Como estamos hoje?
common.long_question_1;Session;Von 10 (ich fühle mich großartig) bis 1 (lass mich in Ruhe). Für alles unterhalb von 7: Gönn dir eine Pause und verschiebe die Sitzung auf einen anderen Tag. PS: Schalte dein Handy in den Flugmodus, um Ablenkungen zu vermeiden.;From 10 (I feel great) to 1 (leave me alone). For anything below 7: give yourself a break and postpone the session to another day. PS: Switch your cell phone to airplane mode to avoid distractions.;De 10 (estou me sentindo ótimo) a 1 (deixe-me em paz). Para qualquer coisa abaixo de 7: dê um tempo a si mesmo e adie a sessão para outro dia. PS: Coloque seu celular no modo avião para evitar distrações.
