,page,Gerrman,English,Portuguese
,,Deutsch,English,"Português "
,,,,
,,,,
auth.email,,E-Mail,E-Mail,e-mail
,"Start Screen/Login/Signin",Benutzer-Name,Username,"Nome do usuário"
auth.password,"Start Screen/Login/Signin",Passwort,Password,Senha
,"Start Screen/Login/Signin","Passwort wiederholen","Repeat Password","Repetir Senha"
auth.enter_email,,,"Enter Email",
auth.enter_password,,,"Enter Password",
auth.or,,,Or,
,"Start Screen/Login/Signin","Weiter mit Google","Continue with Google","Continuar com Google"
auth.delete_your_account_description,,,"You will lose all your progress and data.",
,"Start Screen/Login/Signin","Weiter mit Apple","Continue with Apple","Continuar com Apple"
auth.delete_my_account,,,"Delete my account",
auth.agree_with,"Start Screen/Login/Signin","Es gelten unsere Allgemeinen Geschäftsbedingungen. Unsere Datenschutzerklärung finden sie hier.","I agree with the terms of Use & Provacy Policy","Concordo com os termos da Política de Uso e Privacidade"
auth.terms_of_policy,,,"Terms of Use & Provacy Policy",
auth.signup,"Start Screen/Login/Signin",Anmeldung,"Sign Up",Inscreva-se
auth.already_have_an_account,"Start Screen/Login/Signin","Sie haben bereits ein Konto.","Already have an account?","Já tem uma conta?"
auth.enter_your_email_to_get_the_reset_link,,,"Enter your email to get the reset link",
auth.login,"Start Screen/Login/Signin",Einloggen,"Log In","Iniciar Sessão"
auth.check_your_email,,,"Check your email",
auth.forgot_password,,,"Forgot password?",
auth.dont_have_an_acount,"Start Screen/Login/Signin","Sie haben noch kein Konto?","Dont have an account?","Não tem uma conta?"
,,,,
,Welcome,"Schön, dass du hier bist!","Good, that you are here!","Que bom que você está aqui!"
,welcome,"Erlebt mit uns eine neue, revolutionäre, leichte & spielerische Reise zu mehr Nähe und Intimität in Ihrer Beziehung","Experience with us a new, revolutionary, easy & playfully journey to more closeness and intimacy in your relationship",
,,"Sie haben bereits ein Konto? Einloggen","Already have an account? Log in","Já tem uma conta? Iniciar Sessão"
,,"Los geht’s!","Let’s do this",Vamos!
,,,,
,Goals,Selbstreflexion,"Self Reflection",Autorreflexão
,Goals,"Erhöhtes Verständnis, Wertschätzung und Respekt","Increase mutual understanding, appreciation & respect","Aumento da compreensão, apreciação e respeito"
,Goals,"Mehr Verbundenheit & stärkere Bindung schaffen","Feeling better connected & create safe attachment","Criar mais conexões e vínculos mais fortes"
,Goals,"Weniger Konflikte","Less Conflicts","Menos conflitos"
,Goals,"mehr Intimität & besserer","Boost Intimacy & improve sex","Mais intimidade e melhor"
,Goals,"Bessere Kommunikation","Improve communication","Melhor comunicação"
,Goals,"Mehr Spaß und Aufregung","More fun and excitement","Mais diversão e entusiasmo"
,Goals,"Finanzen besser managen","Manage couple finances better","Gerenciar melhor as finanças"
,Goals,"Engere Beziehung zu Familie und Freunden","Closer relationship with family and friends","Relacionamento mais próximo com a família e os amigos"
,Goals,"Gemeinsame Ziele und Träume bilden","Build meaning and dreams","Construção de metas e sonhos comuns"
,,,,
,,Weiter,Proceed,Prosseguir
,,,,
,,,,
,,,,
,Notifcations,"Unsere Benachrichtigung werden euch helfen, den Kurs zu halten!","Our notification will help you to keep the course! ","Nossa notificação o ajudará a manter o curso! "
,Notifcations,"""Der Lauf der wahren Liebe verlief nie glatt""","""The course of true love never did run smooth""","""O curso do amor verdadeiro nunca foi suave"""
,Notifcations,"Vielleicht später","Perhaps later","Talvez mais tarde"
,Notifcations,"Benachrichtigungen zulassen","Allow notifications","Permitir notificações"
,,,,
,Statistic,"Spielerisch & effektiv","Playfull & effective","Lúdico e eficaz"
,Statistic,"Eure 4 Schritte zu einem besseren Selbstverständnis und einer besseren Beziehung","Your 4 steps to better self understanding and better relationships","Suas 4 etapas para um melhor entendimento de si mesmo e melhores relacionamentos"
,Statistic,"7/10 Menschen sind mit ihren Beziehungen oder ihrem Liebesleben nicht zufrieden.","7/10 people are not happy with their relationships or love life.","7/10 pessoas não estão felizes com seus relacionamentos ou vida amorosa."
,,,,
,Statistic,"""Ich wünschte, ich hätte die Dinge, die ich hier gelernt habe, schon vorher gewusst. Mein Mann und ich lieben unsere kleinen Sitzungen.""","“I wish i would have known the things i have learned here before. My husband and me are loving our little sessions.”","Eu gostaria de ter sabido antes as coisas que aprendi aqui. Meu marido e eu estamos adorando nossas pequenas sessões."
,Statistic,"Seit wir diese App haben, sind meine Freundin und ich auf einem ganz neuen Level. Unsere Gespräche, haben sich verändert. Wir verstehen uns jetzt wirklich. Es ist, als ob wir wiederentdecken, warum wir uns überhaupt ineinander verliebt haben.","""Since we got this app, my girlfriend and I are on a whole new level. Our talks, have changed. We really get each other now. It's like we're rediscovering why we fell for each other in the first place.""","Desde que adquirimos esse aplicativo, minha namorada e eu estamos em um nível totalmente novo. Nossas conversas mudaram. Nós realmente nos entendemos agora. É como se estivéssemos redescobrindo por que nos apaixonamos um pelo outro em primeiro lugar."
,Statistic,"Gott, wir hatten wirklich keine Ahnung, wie man eine erfolgreiche und glückliche Beziehung aufbaut. Ich fühle mich so viel mehr geliebt und geschätzt, seit wir diese App benutzen.","""God, we really had no idea how to build a successful and happy relationship. I feel so much more loved and appreciated since we started using this app.""","""Meu Deus, nós realmente não tínhamos ideia de como construir um relacionamento bem-sucedido e feliz. Comecei a me sentir muito mais amada e valorizada desde que começamos a usar esse aplicativo."""
,Statistic,"Ich habe mich meinem Partner noch nie so nah gefühlt, seit wir diese App benutzen. Wir reden tatsächlich miteinander und verstehen uns.","""I've never felt so close to my partner since we started using this app. We actually talk to each other and understand each other.""","""Nunca me senti tão próximo do meu parceiro desde que começamos a usar esse aplicativo. Estamos realmente conversando e entendendo um ao outro."""
,,,,
,Statistic,"Aber für 96 % sind glückliche und verlässliche Beziehungen das Wichtigste im Leben.","But for 96%, happy & reliable relationships are the most important things in life.","Mas para 96%, relacionamentos felizes e confiáveis são a coisa mais importante da vida."
,Statistic,"Die einzige App, die Ihr für eine positive Veränderungen braucht.","The only App you will need for positive change.","O único aplicativo de que você precisará para uma mudança positiva."
,Statistic,"9/10 Personen spüren eine positive Veränderung in ihrer Beziehung","9/10 people feel a positive influence in their relationship","9/10 pessoas sentem uma influência positiva em seus relacionamentos"
,Statistic,"Lass loslegen","Let’s Start","Vamos começar"
,,,,
,"Start Screen/Login/Signin",E-Mail,E-Mail,e-mail
,"Start Screen/Login/Signin",Benutzer-Name,Username,"Nome do usuário"
,"Start Screen/Login/Signin",Passwort,Password,Senha
,"Start Screen/Login/Signin","Weiter mit Google","Continue with Google","Continuar com Google"
,"Start Screen/Login/Signin","Weiter mit Apple","Continue with Apple","Continuar com Apple"
,"Start Screen/Login/Signin",Anmeldung,"Sign Up",Inscreva-se
,"Start Screen/Login/Signin","Sie haben bereits ein Konto.","Already have an account?","Já tem uma conta?"
