settings.english;;Deutsch;English;Português;settings.english
auth.email;;E-Mail;E-Mail;e-mail;auth.email
auth.username;Start Screen/Login/Signin;Benutzer-Name;Username;Nome do usuário;auth.username
auth.password;Start Screen/Login/Signin;Passwort;Password;Senha;auth.password
auth.repeat_password;Start Screen/Login/Signin;Passwort wiederholen;Repeat Password;Repetir Senha;auth.repeat_password
auth.enter_email;;;Enter Email;;auth.enter_email
auth.enter_password;;;Enter Password;;auth.enter_password
auth.or;;;Or;;auth.or
auth.continue_google;Start Screen/Login/Signin;Weiter mit Google;Continue with Google;Continuar com Google;auth.continue_google
auth.delete_your_account_description;;;You will lose all your progress and data.;;auth.delete_your_account_description
auth.continue_apple;Start Screen/Login/Signin;Weiter mit Apple;Continue with Apple;Continuar com Apple;auth.continue_apple
auth.delete_my_account;;;Delete my account;;auth.delete_my_account
auth.agree_with;Start Screen/Login/Signin;Es gelten unsere Allgemeinen Geschäftsbedingungen. Unsere Datenschutzerklärung finden sie hier.;I agree with the terms of Use & Provacy Policy;Concordo com os termos da Política de Uso e Privacidade;auth.agree_with
auth.terms_of_policy;;;Terms of Use & Provacy Policy;;auth.terms_of_policy
auth.signup;Start Screen/Login/Signin;Anmeldung;Sign Up;Inscreva-se;auth.signup
auth.already_have_an_account;Start Screen/Login/Signin;Sie haben bereits ein Konto.;Already have an account?;Já tem uma conta?;auth.already_have_an_account
auth.enter_your_email_to_get_the_reset_link;;;Enter your email to get the reset link;;auth.enter_your_email_to_get_the_reset_link
auth.login;Start Screen/Login/Signin;Einloggen;Log In;Iniciar Sessão;auth.login
auth.check_your_email;;;Check your email;;auth.check_your_email
auth.forgot_password;;;Forgot password?;;auth.forgot_password
auth.dont_have_an_acount;Start Screen/Login/Signin;Sie haben noch kein Konto?;Dont have an account?;Não tem uma conta?;auth.dont_have_an_acount
onboarding.welcome.title;Welcome;Schön, dass du hier bist!;Good, that you are here!;Que bom que você está aqui!;onboarding.welcome.title
onboarding.welcome.description;welcome;Erlebt mit uns eine neue, revolutionäre, leichte & spielerische Reise zu mehr Nähe und Intimität in Ihrer Beziehung;Experience with us a new, revolutionary, easy & playfully journey to more closeness and intimacy in your relationship;;onboarding.welcome.description
auth.already_have_an_account;;Sie haben bereits ein Konto? Einloggen;Already have an account?;Já tem uma conta? Iniciar Sessão;auth.already_have_an_account
common.lets_do_this;;Los geht’s!;Let’s do this;Vamos!;common.lets_do_this
profile.self_reflection;Goals;Selbstreflexion;Self-Reflection;Autorreflexão;profile.self_reflection
profile.increase_mutual_understanding;Goals;Erhöhtes Verständnis, Wertschätzung und Respekt;Increase mutual understanding, appreciation & respect;Aumento da compreensão, apreciação e respeito;profile.increase_mutual_understanding
profile.feeling_better;Goals;Mehr Verbundenheit & stärkere Bindung schaffen;Feeling better connected & create safe attachment;Criar mais conexões e vínculos mais fortes;profile.feeling_better
profile_less_conflicts;Goals;Weniger Konflikte;Less Conflicts;Menos conflitos;profile_less_conflicts
profile_boost_intimacy;Goals;mehr Intimität & besserer;Boost Intimacy & improve sex;Mais intimidade e melhor;profile_boost_intimacy
profile.communication;Goals;Bessere Kommunikation;Improve our Communication;Melhor comunicação;profile.communication
profile.more_fun;Goals;Mehr Spaß und Aufregung;More fun and excitement;Mais diversão e entusiasmo;profile.more_fun
profile.manage_finances;Goals;Finanzen besser managen;Manage couple finances better;Gerenciar melhor as finanças;profile.manage_finances
profile.closer_relationship;Goals;Engere Beziehung zu Familie und Freunden;Closer relationship with family and friends;Relacionamento mais próximo com a família e os amigos;profile.closer_relationship
profile.closer_relationship;Goals;Gemeinsame Ziele und Träume bilden;Build meaning and dreams;Construção de metas e sonhos comuns;profile.build_meaning_and_dreams
common.proceed;;Weiter;Proceed;Prosseguir;common.proceed
onboarding.notification.description;Notifcations;Unsere Benachrichtigung werden euch helfen, den Kurs zu halten!;Our notification will help you to keep the course! ;Nossa notificação o ajudará a manter o curso!;onboarding.notification.description
onboarding.notification.description2;Notifcations;Der Lauf der wahren Liebe verlief nie glatt;The course of true love never did run smooth;O curso do amor verdadeiro nunca foi suave;onboarding.notification.description2
onboarding.notification.perhaps_later;Notifcations;Vielleicht später;Perhaps later;Talvez mais tarde;onboarding.notification.perhaps_later
onboarding.notification.allow_notifications;Notifcations;Benachrichtigungen zulassen;Allow notifications;Permitir notificações;onboarding.notification.allow_notifications
profile_playfull_effective;Statistic;Spielerisch & effektiv;Playfull & effective;Lúdico e eficaz;profile_playfull_effective
onboarding.statistic.screen_1_description;Statistic;Eure 4 Schritte zu einem besseren Selbstverständnis und einer besseren Beziehung;Your 4 steps to better self understanding and better relationships;Suas 4 etapas para um melhor entendimento de si mesmo e melhores relacionamentos;onboarding.statistic.screen_1_description
onboarding.statistic.screen_2_description;Statistic;7/10 Menschen sind mit ihren Beziehungen oder ihrem Liebesleben nicht zufrieden.;7/10 people are not happy with their relationships or love life.;7/10 pessoas não estão felizes com seus relacionamentos ou vida amorosa.;onboarding.statistic.screen_2_description
